"","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Boraginaceae","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Centaurea-type","Cichorioideae","Cistus","Convolvulus","Coriaria myrtifolia","Corylus","Crassulaceae","Cyperaceae","Dipsacoideae","Ephedra","Ericaceae","Euphorbia","Fabaceae","Fagus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lotus","Lygeum-type","Lythrum","Malvaceae","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Olea","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potamogeton","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Sparganium-type","Tamarix","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Urticaceae","Vitis","Cal_yrs_BP","min","max"
"S411740","","4","1","49","4","107","","","","15","","","","","","","","","8","","1","","32","24","","1","","","","","","54","","","","","","1","","","","","","","11","1","","10","","1","","","4","","1","","","","","","12","","","","3","","","","","5714","5902","5617"
"S411741","","4","2","71","","156","1","","","13","1","","","","","","","","12","","","","34","32","","2","","","","","","48","3","","","","","","","","","","1","1","2","","","16","","","","","15","","","","","","","","10","","","2","1","","","","","5748","5932","5653"
"S411742","","","2","43","","121","","","","10","","","","","","","","","4","","","","42","28","","3","","","","","","18","","","","2","","","","","","","","","5","","","9","","2","","2","8","2","","","","","","1","24","","","10","","","2","","","5781","5960","5686"
"S411743","","7","1","43","3","81","","","","14","","","","","3","","","","10","","1","","28","23","","3","","","","","","53","4","","","","","","","","","","","","7","","","29","","1","","","","2","","","","","","","11","","","1","","","","","","5814","5989","5720"
"S411744","","6","2","30","4","97","1","","","13","","","","","","","","","4","","2","","29","10","","","","","2","","","39","4","","","","","","","","","","","","13","","","22","","","","","4","3","","","","","","","14","","","","2","","","","1","5847","6018","5753"
"S411745","","4","","52","","79","1","","","40","","","","","","","","","6","","5","","33","14","","","","","","","","38","","","","","","","","","","","3","","11","1","","8","","","","","12","2","","","","","","","8","","","2","1","","","","","5881","6048","5786"
"S411746","","2","","26","","72","","","","18","","","1","","","","","","2","","1","","15","19","","1","","","","","","41","","","","","","","","","","","","","17","4","","25","1","","","","3","","","","","","","","21","","","","1","","","","","5914","6078","5820"
"S411747","","2","","31","","45","","","","19","","","1","","","","","1","5","","","","19","12","","","","","","","","61","","","","","","","","","","","","","9","2","","39","","","","","7","","","","","","","","9","","","","1","","","","","5947","6107","5853"
"S411748","","3","","49","9","113","1","","1","52","","","","","","","","","2","","7","","43","12","","","","","","","","51","5","","","","","","","","1","","","","20","","2","11","","","","5","3","","","","","","","","11","1","","4","1","","1","","3","5981","6134","5884"
"S411749","","3","","42","6","82","","","","28","","","","","","","","","7","","1","","24","9","","2","","","","","","43","4","","","","","","","","","","2","","14","4","","37","","","1","","7","","","","","","","","26","","","3","","","","","","6014","6158","5917"
"S411750","","11","","40","2","112","","","","35","","","","","","","","","8","","3","","33","19","","2","","","","","1","63","1","","","","","","","","","","2","","19","","","16","1","1","1","","8","2","","","","","","","5","","","3","","","1","","","6047","6173","5949"
"S411751","","2","","14","1","70","","","","33","","","","","","","","","6","","1","","36","14","","2","","","","","","44","","","","","","","","","","","","1","19","","1","20","","","","1","2","4","","1","","","","","19","","","","1","","","","","6080","6202","5980"
"S411752","","1","3","21","2","53","","","","35","","","","","","","","","11","","","","15","12","","","","","","","1","38","","","","","","","","","","","4","1","8","4","","24","","1","","","4","2","","","","2","","","15","","","1","","","","","","6114","6231","6011"
"S411753","1","2","5","24","2","88","1","","1","62","","","","","","","","","10","","","","33","8","","","","","","","","32","2","","","","","","","1","","","1","1","16","","5","35","","1","","","5","2","","","","","","","32","","","2","","","","","","6147","6262","6043"
"S411754","","3","","56","3","114","2","","","46","","","","","","","","","3","","6","","15","12","","1","","","","","","50","2","","","","","","","1","","","","","4","","3","8","2","1","","2","6","","","","","","","","4","","","12","4","","1","","","6180","6294","6074"
