 ,Cal_yrs_BP,max,min,Olea capensis,Afrocarpus mannii,Celtis,Symphonia globulifera,Lannea,Prunus africana,Polyscias,Pseudospondias-type,Scytopetalum klaineanum,Hernandiaceae,Ilex,Bombacaceae-type,Staudtia-type,Trichilia,Capapa,Pycnanthus angolensis,Myrtaceae,Discoclaoxylon occidentale,Uapaca,Homalium henriquesii,Blighia,Sapindaceae,Sterculia,Funtumia,Hypericaceae,Trema orientalis,Pauridiantha floribunda,Psydrax subcordatum,Allophylus,Cola,Sapotaceae,Psychotria sp.,Craterispermum cerinanthum,Rauvolfia,Tabernaemontana,Nuxia-type,Oxyanthus speciosus,Pavetta monticola,Macaranga monandra,Campylospermum,Thecacoris,Gaertnera-type,Thymeliaceae,Rutaceae,Cestrum laevigatum,Primulaceae,Erythococca,Baphia nitida,Alchornea cordifolia,Psychotria cf. nubicola,Psychotria cf. peduncularis,Heteradelphia paulowilhelmia,Rubus,Malvaceae,Pentas-type,Ficus,Hymenodyction,Sabicea,Clematis,Clerodendrum,Cissus,Salacia,Schefflera,Vigna-type,Anthocleista,Convolvulus,Piperaceae,Asteraceae tub.,Melastomataceae,Lamiaceae,Amaranthaceae,Apiaceae,Impatiens,Begoniaceae,Brassicaceae,Caryophillaceae,Commelinaceae,Commelina-2,Lobelia,Orobanchaceae,Poaceae,Plantago-type,Crassulaceae,Utricularia,Cyperaceae,Persicaria,Elaeis guineensis,Zea mays,Apocynaceae,Euphorbiaceae,Rhamnaceae,Verbenaceae,Acanthaceae-2 cf. avicenia,Acanthaceae-3,Boraginaceae,Euphorbia,Phyllanthaceae,Solanum-type,Solanaceae-type,Solanaceae/Vitaceae,Rosaceae-type,Unid. Monocolp scabrate,Unid. Cf. Alismataceae,Unid. Tricolporate microechinate,Unid. inaperturate pilate,Monocolpate psilate,Martretia-type,Mallotus- ype,Fabaceae cf. Erythrophleum,Moraceae/Urticaceae,Unid. Tricolporate psilate,Unid. Reticulate,Indeterminable
,1400,,,1,1,5,2,2,3,7,1,,,,1,,2,1,,,4,11,2,,,2,,,,1,9,,,2,31,16,1,,,,,2,17,1,,,1,,,,,,8,2,,,,1,,33,22,15,1,,,,,,,,36,1,1,,,,,1,,3,,,,9,3,,,3,,,,,2,1,,,1,1,,3,,,,1,,,,,,,,1,5,5,7,21
,1863,,,5,,2,3,,15,2,,,,,2,,4,1,2,,,4,2,,,3,,,,1,9,,1,,30,4,,,2,2,,,1,,2,1,,,,,,,,6,,,,3,2,7,19,72,,,,1,,1,,,25,,4,1,,1,,1,1,3,,,,2,,,,8,,,,,1,,,,,,,2,,,,2,1,,1,,,,,,8,5,18,15
,2095,,,4,,3,,,1,1,,,,1,,,2,,,,,16,2,,1,1,,,1,1,7,,,1,18,5,,,,,1,1,1,,,,1,,,,1,,2,1,,,,,,7,16,12,1,,,1,,1,,,13,,,,,,,,,1,,,,6,,,,3,,,,,4,,,,,,1,2,,,,1,,,,,,,,1,3,12,10,10
,2323,,,1,3,,7,,1,3,,,,,1,,2,,,,2,1,4,,,,,,,1,7,,,,19,1,,,,,,,2,,1,,,,,1,1,,1,,,,,1,,,8,7,,,,1,,,1,,16,1,,,,1,,1,1,,,,,5,,,,3,,,,,,,,,,,,1,,,1,,,,,,,,,,4,5,7,16
,2554,,,1,1,,1,1,3,,,,,,,,,,1,,,,,,,1,,,,,2,,,,4,,,,,,,,,,1,,,,,,,,1,1,,,,,,,9,3,,,,,,,,,22,,2,,,4,1,,,,,,,6,,,,6,,,,,,,,,,,,3,,,,,,,,,,,,,7,2,5,15
,2789,,,4,,1,,1,2,,,,,,,,1,1,,,1,,1,,,,,,,1,,,,,18,5,,,,,,1,,,,,,,,,,,2,,,,,,1,7,8,3,,2,,,,,,,13,,2,,,,,1,,4,,,,7,,,,1,,,,,,,,,,,,2,,,1,,,,,,,,,,1,4,2,14
,3027,,,11,1,1,1,3,29,1,,,,,1,,1,,,,,1,2,,1,2,,,1,5,3,,,1,20,15,,,1,1,,,2,,,,,,1,,,,4,3,,,,1,1,2,40,28,,7,,,,,,,38,1,15,2,2,4,,3,,12,,1,,17,,,,16,1,,,,3,,,,,,,2,1,1,,1,,,,,,,,,14,18,9,25
,3497,,,3,1,3,4,3,4,11,,1,,,1,,2,,,,,2,5,,,,,,,5,6,,,,28,9,,,,,1,,2,,1,,,,1,,,,7,5,1,,,4,,8,26,19,,2,,,,1,,3,38,1,9,,1,5,,2,,6,,,,12,,,,5,,,,,2,,,,,,,1,,,1,2,1,,,1,,,,,5,7,18,27
,3727,,,5,2,,7,1,2,3,,,,,,,1,1,,,2,,,,,2,,,,1,19,,,,37,14,,,,,,,2,,1,,,,,,,,10,2,1,,,,1,12,15,30,2,6,,7,,1,,,29,1,9,,,10,3,1,,1,,,,13,,,,13,,,,,,,,,1,,,3,,,1,1,,,,,,,,,1,8,7,24
,3956,,,23,3,,3,3,5,14,,,,,,,4,,,,4,2,2,1,,3,,,2,1,5,,,,33,13,,,,,,,16,,1,,1,,1,,,,6,2,,,,2,,16,9,47,,,,1,,,,,16,,14,,,,1,,,5,,,,17,,,,29,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,28,6,9
,4198,,,23,1,3,3,,22,2,1,,2,,,,,,3,,,,4,,2,,,,2,2,3,,,,34,5,,,1,,,1,1,,,,,,2,,,,8,2,1,,,3,2,19,32,40,,3,,,,1,1,4,17,,16,,,1,1,5,,4,,,,2,,,,5,,,,,1,,,,,,,1,,1,,1,,,,,,,,,5,7,9,12
,4937,,,3,1,,3,2,,1,,1,,,,,,,,,,,,1,,,,,,,,,,1,18,4,,,,,,,,,,,,,,,,,5,1,,,,3,,2,7,20,,,,1,,,,,14,,2,,,3,1,,,2,,,,10,1,,,10,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,5,7,16
