 ,Cal_yrs_BP,max,min,Acrostichum,Adiantum,Alnus incana-type,Amaranthaceae,Ambrosia,Anacardiaceae undiff.,Apiaceae,Arecaceae-type undiff.,Artemisia,Asteroideae undiff.,Avicennia,Betula,Brassicaceae,Caryophyllaceae,Celtis,Citrus,Cladium,Coccoloba,Conocarpus,Cupressaceae,Cyperaceae undiff.,Dinoflagellata,Dodonaea,Dryopteris-type,Ericaceae,Eucalyptus spike,Eucalyptus suspension,Eucalyptus suspension,Eugenia-type,Euphorbiaceae,Fabaceae,Fagus,Forestiera,Fraxinus,Galium,Huperzia lucidula-type,Indeterminable,Laguncularia,Lamiaceae,Lemnoideae,Liliaceae,Ludwigia,Moraceae,Myrica,Myriophyllum,Oleaceae undiff.,Osmunda,Ostrya/Carpinus,Persicaria maculosa-type,Pinus,Plantago,Poaceae,Potamogetonaceae,Pteridium-type,Quercus,Rhizophora,Rhus/Toxicodendron,Rhynchospora,Rosaceae,Ruppia maritima,Rutaceae undiff.,Sabal,Sagittaria,Salix,Sample quantity,Sapindaceae undiff.,Sisyrinchium-type,Sparganium-type,Sphagnum,Taxus,Thalictrum,Trema,Typha latifolia,Ulmus,Unknown,Unknown (trilete),Urticaceae,Verbenaceae
,6826,,,1,,,,2,,,,1,,,1,,,8,,4,,,420,1,,,1,,634,115000,1,,1,,,,,,,10,,,,,,,25,,,1,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,4,,1,
,6955,,,,,,,,,,,1,,,,,,2,,1,,,74,1,,3,,,380,115000,1,,,,,,,,,1,,,,,,1,14,,,17,,,,,,,,2,,1,,,,,2,,,1,,,,,,,,,,4,,,
,7065,,,1,2,,,,,2,,2,,,,,,8,,2,,,221,,,,3,,396,115000,1,,1,,,,,,,12,,,,,,,8,,,15,,,,,1,,,1,,,,,,,4,,,1,,,,,,,,,,5,1,,
,7213,,,,1,,,,,,,,,,,,,1,,2,,,96,,,,52,,248,115000,1,,,,,,,,,4,,,,,,,76,,,10,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,
,7371,,,,1,,,,,1,,3,,,,,,3,,,,,226,4,,,29,,1167,115000,1,,1,,,,,,,1,,,,,,,39,,,13,,,,,,,,3,,,,,,,5,,,1,,,,,,,,,,3,,,
,7616,,,,,,,,,,,,,,,,,1,,,,,27,,,,1,,127,115000,1,,,,,,,,,,,,,,,,2,,,11,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
,7860,,,,1,,,1,,1,,1,,,,,,4,,5,,,200,1,,,11,,245,115000,1,,,,,,,,,11,,,,,,,163,,,,,,,,,,1,1,,1,1,,,,6,,,1,,,,,,,,,,,,,
,8056,,,33,5,,,,2,,,1,,,,,,4,,11,,,83,,,,1,,367,115000,1,,,,,,,,,18,,,,,,,8,,,,,,1,,2,,,2,1,,,,,,2,,,1,,,,,,,,,,1,48,,
,8349,,,49,7,,,,,,,1,,,,,,,,1,,,42,,,,,,234,115000,1,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,174,,
,8594,,,80,1,,,,,42,,2,1,,1,,,7,,,,,132,7,,,1,,381,115000,1,,,,,,,,,25,,,,1,1,,54,,,1,,1,,,125,,,,,2,10,,,1,16,,,1,,,,,,1,,33,,6,,,
,8838,,,58,,,,,,,,,3,,,,,12,,,,,269,,,,,,722,115000,1,,3,,,,,,,41,,,,,2,,9,,,,,2,1,,128,,,1,,1,13,,,,97,,,1,,,,,,,,92,,14,1,,
,9083,,,37,,,,,,,,,,,,,,5,,,,,57,1,,,,,506,115000,1,,,,,,,,,9,,,,,,,1,,,,,1,,,51,,,1,2,,,1,,1,40,,,1,,,,,,,,4,,5,,,
,9572,,,14,3,,,,,,,2,,,,,,,,,,,2,,,,,,620,115000,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,7,,,1,,,,,,,,,,,,,
,9816,,,,,,,,,,1,5,,,,,,,,,,,47,2,,,1,,1972,115000,1,,,,,,,,1,9,,,,,,,8,,,,,,,,17,,1,1,,,,,,,56,,,1,,,,,,,,2,,9,18,,
