"","Alnus","Amaranthaceae","Araliaceae.cf..Didymopanax","Asteroideae","cf..Malpighiaceae","cf..Solanaceae","Cunoniaceae.cf..Weinmannia","Dennstaedtiaceae..Hypolepis.type","Dennstaedtiaceae..Pteridium.type","Dicranopteris","Dryopteris.undiff.","Elaeocarpaceae.cf..Sloanea","Garrya","Ilex","Lamiaceae","Lophosoria","Lycopodiella.cernua","Myrica","Myrsine","Pilea","Pinus","Poaceae","Polypodiaceae..Lepisorus.type","Rubiaceae..Mitracarpus.type","Rubiaceae..Tocoyena.type","Sapindaceae..Dodonaea.type","Urera","Urticaceae.undiff.","Cichorioideae","Cyperaceae","Pteridaceae..Pityrogramma.type","Piper","Hymenophyllaceae","Loranthaceae","Melastomataceae","Polypodiaceae..Polypodium.pellucidum.type","Unknown..trilete.6.","Ericaceae","Lycopodiaceae.cf..Huperzia","Araliaceae.cf..Oreopanax","Ophioglossaceae","Pteridaceae..Pteris.type","Cal_yrs_BP","min","max"
"145893",0,0,0,0.0150943396226415,0,0,0,0,0.0427672955974843,0,0,0,0.0377358490566038,0.020125786163522,0,0.050314465408805,0,0.0377358490566038,0.010062893081761,0,0.00880503144654088,0.306918238993711,0.0327044025157233,0,0.0050314465408805,0,0,0,0,0,0,0.324528301886792,0.10062893081761,0.00251572327044025,0,0,0,0.00251572327044025,0,0,0.00251572327044025,0,5208,NA,NA
"145894",0,0,0,0.00952380952380952,0.00238095238095238,0,0,0,0.0285714285714286,0.00238095238095238,0,0,0.0357142857142857,0.019047619047619,0,0.0690476190476191,0,0.0261904761904762,0.00714285714285714,0,0.00952380952380952,0.278571428571429,0.0214285714285714,0.00952380952380952,0,0,0,0,0,0.00476190476190476,0,0.297619047619048,0.171428571428571,0.00238095238095238,0,0,0.00476190476190476,0,0,0,0,0,5236,NA,NA
"145895",0,0,0,0.0153508771929825,0,0,0,0,0.0350877192982456,0.0043859649122807,0,0,0.0416666666666667,0.0241228070175439,0,0.0833333333333333,0,0.0197368421052632,0,0,0.0241228070175439,0.298245614035088,0.037280701754386,0.00657894736842105,0.00219298245614035,0,0,0,0,0,0.00219298245614035,0.278508771929825,0.103070175438596,0,0,0.0043859649122807,0.0043859649122807,0,0.0043859649122807,0,0.0109649122807018,0,5286,NA,NA
"145896",0,0,0,0.0180541624874624,0,0,0,0,0.0682046138415246,0,0,0,0.0240722166499498,0.0180541624874624,0,0.086258776328987,0,0.0240722166499498,0.00401203610832497,0,0.00702106318956871,0.280842527582748,0.0280842527582748,0.00601805416248746,0.00200601805416249,0,0,0,0,0,0,0.292878635907723,0.126379137412237,0,0,0.00200601805416249,0,0.00200601805416249,0,0,0.00601805416248746,0.00401203610832497,5359,NA,NA
"145897",0,0,0.0019588638589618,0.0137120470127326,0,0,0,0,0.0274240940254652,0.0039177277179236,0,0,0.039177277179236,0.0450538687561214,0,0.0940254652301665,0.0019588638589618,0.0137120470127326,0,0,0.00881488736532811,0.201762977473066,0.0548481880509305,0,0.0019588638589618,0,0,0.0019588638589618,0,0,0,0.311459353574927,0.168462291870715,0,0,0,0.0039177277179236,0,0,0,0.0039177277179236,0.0019588638589618,5499,NA,NA
"145898",0.00215285252960172,0,0,0.00861141011840689,0,0,0,0,0.0409041980624327,0,0,0,0.0365984930032293,0.0365984930032293,0,0.0516684607104413,0,0.00861141011840689,0.00645855758880517,0,0.00753498385360603,0.258342303552207,0.0409041980624327,0,0,0,0,0,0,0,0,0.294940796555436,0.189451022604952,0.00215285252960172,0,0.00215285252960172,0.00215285252960172,0,0.00215285252960172,0,0.00861141011840689,0,5585,NA,NA
"145899",0,0,0,0.00931098696461825,0,0,0,0,0.0167597765363128,0.00558659217877095,0,0,0.0297951582867784,0.0670391061452514,0,0.0986964618249535,0,0.0242085661080074,0.00186219739292365,0,0.0037243947858473,0.167597765363128,0.0893854748603352,0,0,0,0,0,0,0,0.00186219739292365,0.243947858472998,0.225325884543762,0,0,0,0.0037243947858473,0,0,0,0.0074487895716946,0.0037243947858473,5635,NA,NA
"145900",0,0,0,0.0129990714948932,0,0,0,0,0.0519962859795729,0,0,0,0.0371402042711235,0.0557103064066852,0,0.0612813370473538,0,0.0148560817084494,0.00371402042711235,0,0.00278551532033426,0.243268337975859,0.0482822655524605,0.00185701021355617,0,0,0,0,0,0,0,0.21355617455896,0.239554317548747,0,0,0.00185701021355617,0,0,0,0,0.00371402042711235,0.0074280408542247,5690,NA,NA
"145901",0,0,0,0.0118460019743337,0,0,0,0,0.0315893385982231,0.00197433366238894,0,0,0.0315893385982231,0.0513326752221125,0,0.0612043435340573,0,0.0177690029615005,0,0,0.00296150049358342,0.234945705824284,0.0513326752221125,0.00197433366238894,0,0,0,0,0,0,0.00197433366238894,0.266535044422507,0.223099703849951,0.00394866732477789,0,0.00197433366238894,0.00394866732477789,0,0,0,0,0,5746,NA,NA
"145902",0,0,0,0.0167810831426392,0,0,0,0,0.0671243325705568,0.0061022120518688,0,0,0.0259344012204424,0.0793287566742944,0,0.0900076277650648,0,0.0122044241037376,0,0,0.0068649885583524,0.184591914569031,0.061022120518688,0,0,0,0,0,0,0,0,0.157131960335622,0.279176201372998,0,0,0.0015255530129672,0.0045766590389016,0.0015255530129672,0,0,0.0045766590389016,0.0015255530129672,5804,NA,NA
"145903",0,0,0,0.00764331210191083,0,0,0,0,0.0535031847133758,0.00636942675159236,0,0,0.024203821656051,0.067515923566879,0,0.0828025477707006,0,0.0127388535031847,0.00127388535031847,0,0,0.14140127388535,0.067515923566879,0.00254777070063694,0.00127388535031847,0,0,0,0,0,0,0.143949044585987,0.36687898089172,0,0,0,0.0101910828025478,0,0,0.00127388535031847,0.00764331210191083,0.00127388535031847,5861,NA,NA
"145904",0,0,0,0.0043223217042297,0,0,0,0,0.0203766594627972,0.0203766594627972,0,0,0.0179067613460945,0.0703920963260266,0.00123494905835134,0.143871565297931,0.000617474529175672,0.0148193887002161,0.000617474529175672,0,0.000308737264587836,0.0648348255634455,0.0666872491509725,0,0,0,0,0,0,0,0,0.121642482247607,0.449521457239889,0,0,0,0.00246989811670269,0,0,0,0,0,5923.5,NA,NA
