"","Abies","Acer","Aconitum-type","Alisma-type","Allium","Alnus","Amaranthaceae","Apiaceae undiff.","Arbutus unedo","Arceuthobium oxycedri","Armeria","Artemisia","Asphodelus","Asteroideae","Berberis","Betula","Brassicaceae undiff.","Buxus","Campanulaceae undiff.","Cannabis sativa-type","Carduus-type","Caryophyllaceae","Castanea","Centaurea cyanus-type","Centaurea undiff.","Cerinthe-type","Cichorioideae","Cistus undiff.","Citrus","Corylus","Cyperaceae","Dipsacus-type","Echium-type","Ephedra undiff.","Epilobium-type","Erica undiff.","Euphorbiaceae undiff.","Fabaceae","Fagopyrum-type","Fagus","Filipendula-type","Fraxinus excelsior","Fraxinus ornus","Galeopsis","Genista-type","Gentianaceae undiff.","Geranium-type","Geum/Potentilla","Hedera helix","Helianthemum undiff.","Hippophaë rhamnoides","Hordeum-type","Humulus-type","Hypericum-type","Ilex aquifolium","Juglans regia","Juncus/Luzula","Juniperus-type","Larix decidua","Liliaceae undiff.","Linaria-type","Linum","Mentha-type","Mercurialis undiff.","Myriophyllum undiff.","Myrtus-type","Nuphar cf. N. lutea","Nymphaea alba-type","Olea","Ostrya/Carpinus","Papaver rhoeas-type","Parietaria-type","Persicaria","Phillyrea-type","Picea abies","Pinus","Pinus cembra-type","Pistacia","Plantago coronopus-type","Plantago lanceolata-type","Plantago major-type","Plantago undiff.","Poaceae","Poaceae (Cerealia-type)","Polygonum aviculare-type","Potamogeton-type","Primulaceae","Quercus ilex/Q. coccifera-type","Quercus pubescens-type","Quercus undiff.","Ranunculus-type","Rhamnus-type","Rhinanthus/Veronica","Rhus","Rosaceae (trees) undiff.","Rubiaceae cf. Galium","Rumex acetosa-type","Salix","Sambucus nigra-type","Sanguisorba minor-type","Saxifraga undiff.","Scrophularia/Verbascum","Secale-type","Sedum-type","Spiraea-type","Thalictrum-type","Theligonum cynocrambe","Tilia","Triticum-type","Typha latifolia undiff.","Typha/Sparganium","Ulmus","Urtica dioica-type","Utricularia","Valeriana undiff.","Vitex agnus-castus","Vitis vinifera","Cal_yrs_BP","min","max"
"S472087","","","","","","92","1","1","","","","3","","7","","","","1","","","","","","","","","1","","","34","1","","","","","367","","","","1","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","214","","","1","","","1","11","","","","","12","9","5","","","","","","","","","","","","","","","","1","","1","","","","2","2","","2","","","8627","--","--"
"S472097","","","2","1","","73","12","","","","","19","","5","","4","","","","","","","","","2","","1","","","","2","","","2","","","","","","","1","","","","","","","","","","1","","","","","","","16","","","","","","","","","1","","","","","1","","","1","1002","","","","1","","","16","","1","","","","1","2","","","","","","2","","","","","1","","","","","2","","","","","","","","","1","","","11199","--","--"
"S472050","8","1","","","","178","3","4","1","","","29","","5","","14","2","","1","","","3","1","","","","6","","","3","1","","","","","66","","","","26","","3","3","2","","1","","1","","","","6","","","","","","12","4","","1","","","","","","","","2","4","","","","","1","165","","","25","1","","33","79","","","","","117","39","24","1","","","","","1","8","","","","","","","","1","3","","","3","","","","1","","","","","906","--","--"
"S472064","2","","","","","330","3","6","1","","","7","","10","","10","1","","1","","1","14","","","","","7","1","","21","1","","","2","","154","1","","","16","","1","6","1","","","","2","","","","3","","","","","","26","","","","","1","","","","","","6","1","1","","","","1","963","","1","","","","","67","","","","","122","56","16","","","","","1","1","12","1","","2","","","","","","1","","4","1","","","4","","","","","","3926","--","--"
"S472072","1","","","","","85","1","1","","","","1","","2","","9","4","","","","","3","","","","","5","","","12","1","","","","","83","","","","2","","1","2","","","1","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","612","1","","","2","","2","12","","","","","78","20","8","","","","","","","","","","","","","","","","","","4","","","","1","","","","","","4885","--","--"
"S472079","","1","","","","292","13","4","4","","","7","","10","2","6","5","","","","","5","","","","","7","1","","35","","","","","","212","","","","3","","1","","1","","5","","","","2","","","","","","","","12","1","","","","1","","1","","","","4","","","","","","","705","","","1","1","","5","81","2","1","","","207","156","63","1","1","","","1","","4","","","","","","","","","","","20","","","","5","4","","","","2","6299","--","--"
"S472089","","2","1","","","117","3","","","","","1","","3","","2","","","","","","","","","","","","","","35","3","","","","","136","","","","","","2","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575","","","","","","","12","","","","","10","12","4","","","","","","","1","","","","","","","","","","","","","","","6","1","","","","","9306","--","--"
"S472099","1","","","1","","36","16","16","","","","175","","10","","3","","","1","","","8","","2","1","","2","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","8","1","","","","","","","","","","","","","","","","","400","","","","","","","41","","","","","","5","4","","","","","","3","3","","","","","","","","","2","","1","","","","","","","","","","11732","--","--"
"S472049","3","","","1","","138","4","7","","","","7","","7","","10","","","","","","7","1","","","","8","","","6","1","","","","","48","","","","13","","1","6","5","","","","","","","","5","","","","1","","12","2","","","","","","","","","","1","","","","","","4","80","","","11","7","","13","63","","","","","36","28","10","","","","","2","5","2","","","","","","1","","","2","","","7","","","","","","","","1","697","--","--"
"S472062","2","","","","","155","1","5","2","","4","6","","3","","9","4","","","","","4","","","","","6","1","","16","3","","","1","","75","","","","7","","","6","","1","1","","1","","","","","","","","","","4","","","","","1","","1","","","","","","","","","","","610","1","","","2","","1","55","","","","","59","31","18","1","","","","","","4","","","","","","","","","1","","1","1","","","2","","","","","1","3819","--","--"
