"","Amaranthaceae","Asteraceae.tubuliflorae","Asteraceae.liguliflorae","Cyperaceae","Poaceae","Pinus","Artemisia","Centaurea","Cirsium.type","Rosaceae","Brassicaceae","Apiaceae","Morella.Corylus.","Cannabaceae.Ostrya","Rumex","Betula","Fraxinus","Oleaceae","Salix","Solanaceae","Acacia","Picea","Juglans","Rubiaceae","CV.1","Ericaceae","Euphorbiaceae","Fabaceae","Moraceae","Ficus.type","Ilex","Lamiaceae","Alnus","Verbenaceae","CV.2","Quercus","Cerealia.type","Zea.mays","Carex","Urticaceae","Caryophyllaceae","Sapotaceae.type","Agavoideae","Convolvulus","Cal_yrs_BP","min","max"
"V31",0.0338983050847458,0.440677966101695,0.0338983050847458,0.0169491525423729,0.313559322033898,0.00847457627118644,0.0593220338983051,0.00847457627118644,0.0169491525423729,0,0.0254237288135593,0,0.0254237288135593,0,0,0,0.00847457627118644,0,0,0,0,0,0,0,0,0,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,NA,NA
"V32",0.120300751879699,0.398496240601504,0.0526315789473684,0.112781954887218,0.142857142857143,0.0676691729323308,0.0676691729323308,0,0,0,0.0150375939849624,0,0.0150375939849624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075187969924812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,NA,NA
"V33",0.0212765957446809,0.475177304964539,0.0780141843971631,0,0.191489361702128,0.00709219858156028,0.156028368794326,0,0.00709219858156028,0,0.0283687943262411,0.0212765957446809,0.00709219858156028,0,0,0,0.00709219858156028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,NA,NA
"V34",0.176271186440678,0.203389830508475,0.122033898305085,0.203389830508475,0.193220338983051,0.0440677966101695,0.00677966101694915,0,0,0,0.023728813559322,0,0.00338983050847458,0,0,0,0,0,0,0,0.00338983050847458,0.00677966101694915,0,0,0,0,0.00338983050847458,0,0.00338983050847458,0,0,0.00338983050847458,0.00338983050847458,0,0,0,0,0,0,0,0,0,0,0,1474,NA,NA
"V35",0.0315789473684211,0.321052631578947,0.457894736842105,0,0.157894736842105,0,0.0105263157894737,0,0,0,0.0157894736842105,0,0,0,0,0,0,0,0,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1595.5,NA,NA
"V36",0.0072463768115942,0.666666666666667,0.0652173913043478,0.0072463768115942,0.195652173913043,0,0.0144927536231884,0,0,0,0.0072463768115942,0.0144927536231884,0.0144927536231884,0,0,0.0072463768115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652.5,NA,NA
"V37",0.00462962962962963,0.462962962962963,0.347222222222222,0.0185185185185185,0.111111111111111,0,0.00462962962962963,0,0,0,0.037037037037037,0,0.00462962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462962962962963,0,0.00462962962962963,0,0,0,0,0,0,0,0,0,0,0,1712.5,NA,NA
"V38",0,0.52247191011236,0.123595505617978,0.00561797752808989,0.168539325842697,0,0.0280898876404494,0,0,0,0.050561797752809,0.0786516853932584,0.00561797752808989,0,0.00561797752808989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561797752808989,0,0.00561797752808989,0,0,0,0,0,0,0,0,0,0,0,1766,NA,NA
"V39",0.235059760956175,0.243027888446215,0.0358565737051793,0.099601593625498,0.151394422310757,0.0637450199203187,0.0876494023904383,0,0,0,0.0239043824701195,0.0278884462151394,0.00398406374501992,0,0,0,0,0,0,0,0,0.00796812749003984,0,0.00398406374501992,0,0,0.00398406374501992,0,0.00398406374501992,0,0,0,0.00398406374501992,0,0,0,0,0,0,0,0,0,0,0.00398406374501992,1821.5,NA,NA
"V40",0.0675675675675676,0.418918918918919,0.175675675675676,0.0472972972972973,0.141891891891892,0,0,0,0,0,0.0675675675675676,0.0810810810810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875.5,NA,NA
"V41",0.170731707317073,0.121951219512195,0.146341463414634,0.25609756097561,0.170731707317073,0.0853658536585366,0,0,0,0,0.0365853658536585,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931,NA,NA
"V42",0.0069204152249135,0.467128027681661,0.0657439446366782,0.0069204152249135,0.29757785467128,0,0.0069204152249135,0,0,0,0.0346020761245675,0.114186851211073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,NA,NA
"V43",0,0.375,0.270833333333333,0,0.25,0.0208333333333333,0,0,0,0,0.0208333333333333,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,NA,NA
"V44",0.00709219858156028,0.340425531914894,0.216312056737589,0.00709219858156028,0.0921985815602837,0,0.0425531914893617,0,0,0,0.141843971631206,0.138297872340426,0.00354609929078014,0.00354609929078014,0.00354609929078014,0,0,0,0,0,0,0,0,0.00354609929078014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,NA,NA
"V45",0,0.187134502923977,0.339181286549708,0,0.403508771929825,0,0.0116959064327485,0,0,0,0.0292397660818713,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116959064327485,0,0,0,0,0,0,0,0,0,0,0,0,2147,NA,NA
