 ,Cal_yrs_BP,max,min,Acacia,Acalypha,Adiantum,Agavoideae,Alisma,Alnus,Alternanthera,Amaranthaceae undiff.,Ambrosia-type,Amyris,Anacardiaceae undiff.,Annona-type,Antigonon,Antirhea,Apiaceae,Apocynaceae undiff.,Arecaceae undiff.,Asteraceae (large),Asteroideae (high spine),Asteroideae (low spine),Avicennia,Bumelia,Bursera,Buxus,Caesalpinia,Campyloneurum phyllitidis,Capparis,Capraria,Caryophyllaceae,Casasia,Casearia,Castanea,Casuarina,Celtis,Ceratopteris,Cichorioideae,Coccoloba,Commelina,Conocarpus,Convolvulaceae undiff.,Corchorus,Cordia,Crossopetalum,Crotalaria,Cupressaceae,Cyperaceae,Dalbergia,Desmodium,Dodonaea-type,Echinodorus,Echites,Erithalis,Ernodea,Erythrina,Euphorbia,Exostema,Exothea,Faboideae undiff.,Ficus,Fungi undiff.,Gochnatia,Guaiacum,Guapira,Guettarda,Hedyotis,Helianthus-type,Heliotropium,Ilex,Indeterminable,Ipomoea,Isoetes,Laguncularia,Lamiaceae,Lantana,Lemna,Leucaena,Liliaceae,Linum,Ludwigia,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lycopodium tablets,Malpighiaceae undiff.,Malvaceae undiff.,Manilkara,Mascagnia,Maytenus,Metopium,Moraceae undiff.,Myrica,Myrsine,Myrtaceae,Onagraceae undiff.,Passiflora,Phlebodium aureum,Phyllanthus,Pinus,Plantago,Poaceae (Cerealia),Poaceae undiff.,Polypodium,Pouteria,Pteris,Rachicallis,Ravenea,Rhamnaceae,Rhizophora,Sabal,Sapotaceae undiff.,Schinus,Sesuvium,Solanaceae,Spermacoce,Sporormiella,Stemodia,Strumpfia,Swietenia,Tabebuia,Tecoma,Teramnus,Tetrazygia,Thouinia,Tillandsia,Tournefortia,Trema,Tsuga,Typha angustifolia-type,Ulmus,Unknown (trilete),Unknown (type A),Unknown (type B),Unknown (type C),Unknown (type E),Unknown (type F),Unknown (type G),Unknown (type H),Unknown (type I),Unknown (type J),Unknown (type K),Unknown (type L),Unknown (type M),Unknown (type N),Unknown (type O),Unknown (type P),Unknown (type Q),Unknown (type R),Unknown (type S),Unknown (type T),Unknown undiff.,Urena,Urticaceae,Vitaceae,Zanthoxylum,Zea mays,cf. Alnus,cf. Artemisia,cf. Carya,cf. Pistacia,cf. Quercus,cf. Tripsacum
,705,778,610,38,,,,,,,3,14,,16,,,,,,,,6,5,,,3,,,,,,2,,,,,,,,1,,74,,,,,,,1,,,,,,,,,,,,9,,,,2,,,,,,1,14,,,53,,,,,,,,339,2,12542,124961,,,,,,1,,21,,3,,,,,102,,,,1,,,2,,,,,1,,,12,,,3,,,,2,,2,,,,27,,5,,29,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
,740,836,626,17,,,,,,,1,2,,5,,,,,,2,,11,5,,,11,,,,,,,,,,,,,,2,,109,,,,,,1,9,,3,1,,,,,2,1,,,11,,,,4,,,,7,,,8,,,39,,,11,,,,,449,2,12542,124961,,,,,,2,,53,,10,,,,,94,,,,2,,,3,,,1,,,,,7,,,1,,,3,,,,,,,31,,19,,30,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,
,776,895,643,1,,,,,,,3,64,,5,,,,,,1,,15,10,,,6,,,,,,2,,,,,,,,,,40,,,,,,,2,1,,,,,,,,,,,29,,,,3,,,,1,,,29,,,127,,,,,,,,401,2,12542,124961,,,,,,,,35,,27,,,,,21,,,,,,,1,,,,,2,,,3,2,,,,,,,,6,,,,5,,16,2,15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,793,926,651,,,,,,,,2,18,,13,,2,,,1,7,3,35,16,1,,3,1,,,,,,,,1,,1,,,,,95,,,1,,,4,10,6,2,3,,,7,,,1,,,10,,,,,,,,6,2,1,27,,,29,,1,13,1,,,,506,2,12542,124961,1,,,,,,,41,,7,,,2,,37,,,4,3,,4,1,,2,5,,,,2,,,,,1,,,2,,3,,,,18,,28,,17,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
,812,931,681,,1,,,,,,1,26,,17,,,,,,,,14,27,,,3,,,,,,1,,,,,,,,5,,41,,,1,,,3,6,9,,,,,,1,,,,,22,,,,7,,,,20,1,2,40,,,20,,,2,,,,,479,2,12542,124961,,,,,,2,,32,,19,,,1,,36,,,7,,,,1,,,9,,,,2,13,,,1,1,,,2,,6,1,,,13,,12,,32,,,,,1,,,,,,2,,,,,,,,,,,,1,3,,,,,,,
,848,943,738,,,,,,,,3,18,,13,,,,,,,,15,27,,,1,,,,,,,,,,,,,,,,12,,,2,,,3,,,2,,,,,,,1,,,25,,,,6,,,,7,,,52,,,23,,,,,,,,326,2,12542,124961,,,,,,,,22,,4,,,,,22,,,,,,,,,,5,,,,,3,,,,,,,,,,,,,4,,7,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,885,964,786,,,,,,,,2,1,,23,,,,,,6,,4,37,,,2,,2,,,,,,,,,,,,,,16,,,,,,,7,,1,,1,,,,,5,,,14,,,,,,,,,,,14,,,1,,,2,,,,,142,2,12542,124961,,,1,,,4,,109,,14,,,,,6,,,1,,,,4,,,,,1,,,17,,,,,,,,,,,,,5,,21,,22,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
,903,979,805,,,,,,,,,,,9,,,,,,43,,3,2,,,3,,4,2,,,,,,,,,,,1,,8,,,,,,3,,,,,,,,,,1,,,39,,,,3,,,,,,,14,1,,4,,,1,,3,,,146,2,12542,124961,,,,,,,,7,,26,,,14,,3,,,,1,,,2,,,2,,,,,23,,,,,,,11,,,,,,10,,,,2,,,,,5,,,,,,,,,,,,,,,,,,2,,,,,,,,
,922,1003,820,,1,,,,,,,5,,14,,,,,,7,,9,35,,,1,,,,,,,,,,,,,,,,6,,,,,,3,7,,,2,,,,,,2,,,24,,,,,,,,,,,13,,,3,,,1,,,,,161,2,12542,124961,,,,,,,,71,,14,,,,,14,,,,,,,1,,,,,1,,,1,,,,,,,2,,,,,,3,,11,,43,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,
,959,1061,844,,,,,,,,,1,,5,,,,,,29,,17,1,,,3,,,,,,,,,,,,,,,,5,,,,,,6,,,,,,,,,1,10,,,12,,,,,,,,,,,11,,,4,1,,1,,1,,,247,2,12542,124961,,,,,,,,30,,12,,,6,,13,,,,,,,,,5,4,,,,2,2,,,,,,,,,,,,,51,,8,,21,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,
