 ,min,max,Cal_yrs_BP,Abies,Acer,Alisma-type,Allium-type,Alnus glutinosa-type,Alnus viridis-type,Amaranthaceae-type,Ammi-type,Anogramma leptophylla,Anthemis-type,Anthoceros laevis,Anthoceros punctatus,Anthriscus sylvestris-type,Apiaceae,Arbutus,Arnoseris,Artemisia,Asparagus,Asplenium-type,Aster-type,Asteroideae,Astragalus-type,Berberis,Betula,Botrychium,Botryococcus,Brassicaceae,Bupleurum,Calendula,Caltha-type,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Cedrus,Celtis australis,Centaurea nigra-type,Centaurium,Cerastium-type,Ceratonia siliqua,Cercophora-type,Cheilanthes-type,Cichorioideae,Cistus,Corylus avellana,Crataegus-type,Cuscuta,Cyperaceae,Cyperus-type,Daphne,Daucus,Diporotheca,Dryopteris filix-mas-type,Echium,Ephedra distachya-type,Ephedra fragilis-type,Erica arborea-type,Erodium,Euphorbia,Fabaceae,Ficus carica,Fraxinus excelsior-type,Fraxinus ornus,Gelasinospora,Genista-type,Glomus,Gnaphalium-type,Helianthemum,Heliotropium,Herniaria-type,Hypericum perforatum-type,Jasione,Juglans regia,Juniperus,Juniperus-type,Lamiaceae,Ligustrum,Liliaceae-type,Limonium,Linaria-type,Lithospermum officinale,Lonicera,Lotus-type,Lycopodium spike,Lycopodium tablets,Lycopodium tablets_1,Lythrum portula,Malvaceae,Matthiola-type,Mentha-type,Mercurialis annua,Microthyrium,Microthyrium_2,Morus,Myrtus communis,Odontites-type,Olea,Ononis-type,Ophioglossum lusitanicum,Ornithopus,Ostrya-type,Paronychia-type,Phillyrea,Phlomis,Picea,Pinus,Pinus_3,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-type,Polygonum aviculare-type,Polypodium,Potamogeton-type,Potentilla-type,Prunus-type,Pteridium aquilinum,Pteridophyta (monolete) undiff.,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda,Rhamnus,Rhinanthus,Rhus,Riccia,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex obtusifolius-type,Rumex-type,Sagina,Salix,Sambucus nigra,Sample quantity,Scabiosa,Sedum-type,Selaginella denticulata,Senecio-type,Silene dioica-type,Silene vulgaris-type,Silenoideae-type,Smyrnium-type,Sporormiella,Thalictrum,Theligonum cynocrambe,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Ulmus,Urtica,Urtica dioica-type,Urtica membranacea-type,Urtica pilulifera,Ustulina deusta,Verbascum,Viola,Vitis
,,,421.7,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,2,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,215,18584,2,,,,,,,,,,,,,,,,,,,,242,1,,,,,,,,,,,1,,,,,,20,2,,,,,,,,,,,,,,1,,,,1,,,4,,,,,,1,,,,,,,,,,,,,,
,,,431.4,,,,,3,,20,,,7,2,,,,1,1,27,1,,1,,,,,,,7,,1,,,,,,,1,,,,,,,,1,1,,,,,4,,2,1,,,5,1,1,43,,1,1,,2,,,,,2,1,,,,,,,18,1,1,,,,,,,1976,18584,2,,,,1,1,,,,,,1,1,,,3,11,7,,,79,,23,1,12,,2,,16,1,,,2,2,,,1,,1,1,,,,,,,,,,,,1,,19,,1,,1,,,,,,,,1,1,,,,,4,,,4,,1,,,,
,,,460.4,,,,,,,2,,,5,2,,,,,1,11,,1,2,,,,,,,6,,,,,,,,,,,,,,,,1,,3,,,,,3,,4,,,,1,1,,77,,,,,8,,3,,,,,,,,,,1,6,,,,,,,,,973,18584,2,,,,,1,,,,4,,3,,,,,5,10,,,197,5,12,1,5,,,,6,,,,1,,,,1,1,11,3,,,,1,,,,,,,,,,7,,,,1,,,,,,,,1,7,,,,,9,,,3,,,,,1,
,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,747,18584,2,,,,,,,,,,,,,,,,,,,,110,,2,,,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,508.7,,,,,,1,,,4,3,,,,,,,11,,1,,,,,,,3,4,,1,,,,,,,1,,,,,,,,,9,2,2,,,2,1,2,,1,,3,,1,90,,1,,,,2,,,,,,,,3,,1,,9,,,,,4,,,,438,18584,2,,,,,1,,,,1,,12,,,,3,5,21,,,115,1,23,1,10,,,,10,,,1,2,1,2,1,2,1,29,2,,,,1,,,,,,,,6,,1,,1,,1,,,3,1,,,,1,5,,,,,2,,,,,,,,,
,,,518.4,,,,,,1,1,,,,,,,1,,,19,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,,,2,,,,,,,,,44,,,,,,1,,,,,,,,,,,,,,,,,,,,,638,18584,2,,,,,,,,,,,8,,,,,,,,,56,,6,,5,,,,,,,,1,,,,,,13,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,537.7,,,,,,,3,,,,,,,1,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,1,,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,356,18584,2,,,,,,,,,,,9,,,,,,,,,43,,10,,3,,,,1,,,,2,1,,,,,16,1,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
,,,566.8,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,924,18584,2,,,,,,,,,,,3,,,,1,,,,,57,,30,,3,,,,9,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,
,,,576.4,,1,,1,,,4,,1,3,5,,,,2,2,2,1,1,,,,,,4,4,,,,,,,,,,,,,,,,,2,,9,1,,,,6,,2,,2,,5,,,112,,,,1,,,10,,4,,,1,,,,,1,1,,,,,,,,,281,18584,2,,,,,,,,,1,,2,,,,,4,,,,247,2,3,,1,,,,2,,2,,5,,1,,1,5,1,1,,,,,,,,,,,,1,,3,,,,1,,,,,,,,,1,,,,,12,,,,,,,,,
,,,586.1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,15,,,,,,2,,,,,,,,,,,,,,,,,,,,,553,18584,2,,,,,,,,,,,,,,,,,,,,89,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,6,,,,,,,,,,,,,,
,,,595.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,12,,,,,,,1,,,,,,,,,,,,,,,,,,,,192,18584,2,,,,,,,,,2,,,,,,,,,,,90,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
,,,605.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,265,18584,2,,,,,,,,,,,2,,,,,,,,,87,1,2,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,3,,,,,,,,,,,,,,
